,precision_rise,precision_other,recall_rise,recall_other,f1_rise,f1_other,f1_macro,accuracy
1,1,1,1,0.96,1,0.98,0.99,1
2,1,1,1,0.73,1,0.85,0.92,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,0.99,0,1,0,0.95,0,0.47,0.9
14,0.92,0,1,0,0.96,0,0.48,0.92
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
average,0.995,0.8888888889,1,0.8716666667,0.995,0.8794444444,0.9366666667,0.99
dev,0.01886484437,0.3233808334,0,0.3234055913,0.01465284554,0.3218781688,0.1690109638,0.02930569108
